,Title,sentiment,sentiment_class,label_encoded
154,In Pursuit of Excellence: The Inspiring Journey of Team Group,0.5,positive,1
155,Exploring Team Group’s RMG Enterprises,0.0,negative,0
156,Team Group: Leading the Way Towards a Greener Future,0.0,negative,0
157,Nidle by Intellier: Transforming Bangladesh’s RMG Industry,0.0,negative,0
158,A purr-fect farewell: Closure of Capawcino Cat Café,0.0,negative,0
159,Jane Dipika Garrett: Breaking barriers in Miss Universe 2023,0.0,negative,0
160,Dos and don'ts: A guide to safety during earthquake,0.0,negative,0
161,Bidya Sinha Saha Mim’s timeless beauty captured in latest photoshoot,0.5,positive,1
162,No Makeup Look for Weddings: Yay or Nay?,0.0,negative,0
163,Fresh on the shelves: Buying organic products,0.3,positive,1
164,Pizza recipes with unique twists to keep your tummy on edge,0.375,positive,1
165,Married life step one! Bedroom decorating ideas you will both like,0.3125,positive,1
166,"Being a woman is just such a war, forever: Billie Eilish",0.0,negative,0
167,"A new thriller arrives in ‘Shyama Kabya’, stars hopeful",0.13636363636363635,negative,0
168,Tisha and Farooki’s daughter debuts in ‘Autobigraphy’s’ song ‘Jochonar Phool’,0.0,negative,0
169,I aspire to become an actor for whom directors will eagerly line up: Ashna Habib Bhabna,0.0,negative,0
170,You did not know these Bengali adaptations of popular films existed,0.6,positive,1
171,I am called ‘Dhallywood Queen’ because of Shakib Khan: Apu Biswas,0.0,negative,0
172,‘Mike’ bags Best Feature Film Award at Singapore,1.0,positive,1
173,‘Neel Joler Kabbyo’ trailer to release this week,0.0,negative,0
174,The team that made ‘Ashomvob’ possible,0.0,negative,0
175,What makes Karnival stand out?,0.0,negative,0
176,The grandest OTT extravaganza hosts its second iteration,0.0,negative,0
177,Bobby electrifies,0.0,negative,0
178,Xefer remastered,0.0,negative,0
179,Jessia in action,0.1,negative,0
180,The enigmatic Tawsif,0.1,negative,0
181,Jumping from billboards to OTT,0.0,negative,0
182,Rohingyas highly exposed to HIV,0.16,negative,0
183,Dengue fever: Country sees 7 more deaths; 877 hospitalised,0.5,positive,1
184,More and more people now flocking to OMS trucks,0.5,positive,1
185,Global partners cheer progress towards elimination and underline challenges,0.0,negative,0
186,Alarming rates of suicidal behaviours among Nepalese MSM: urgent need for tailored support,-0.1,negative,0
187,Dengue claims five more lives,0.5,positive,1
188,Management of diabetes-related foot infections,0.0,negative,0
189,Bullying of children in mainstream education,0.0,negative,0
190,Managers rejoice as study shows Artificial Intelligence can’t replace Genuine Idiocy™,-0.09999999999999998,negative,0
191,Bureaucracy marathon receives great response,0.8,positive,1
192,‘Digbaji’ celebrity Jaded Khan tumbles head over heels into mathematics,0.0,negative,0
193,Economic success now defined by how often men change the colour of their car,0.25,positive,1
194,‘It’s disgraceful that rain did not fall in time’,0.0,negative,0
195,Boss shocked that employees not happy about being paid 5 peanuts instead of 4,-0.55,negative,0
196,5 things to do when there is a Bangladesh match on TV,0.0,negative,0
197,Celebrities of Bangladesh offering support,0.0,negative,0
198,Plant Easy organises “Plantifying Schools” at Shishu Kallyan Primary School,0.4166666666666667,positive,1
199,A university student’s guide to time management,0.0,negative,0
200,What is hobby fatigue and how to deal with it,0.0,negative,0
201,Haileybury Bhaluka – a unique educational experience,0.3125,positive,1
202,PPECCC Dhaka 2023 explores climate change as an opportunity for investment and employment,0.0,negative,0
203,Leisure time is not wasted time,0.1,negative,0
204,Bangladeshi activists join Global Climate Strike,0.0,negative,0
205,Making the jump from O level to A level,0.0,negative,0
206,JK Rowling’s 'The Running Grave': A souring tale that clumsily rolls downhill,-0.3,negative,0
207,Growing up with Mark Twain,0.0,negative,0
208,"On the Palestine Question: Roald Dahl, Harold Pinter, and others",0.0,negative,0
209,Keep your secrets close and your tech support closer,0.0,negative,0
210,There's a Jo March in every woman,0.0,negative,0
211,Disempowering voices of propaganda: The BDS movement in books,-0.1,negative,0
212,Nobody writes like Arundhati Roy,0.0,negative,0
213,Despair and death in ‘Truth or Dare’,0.0,negative,0
214,Scaling Mount Saramati,0.0,negative,0
215,Trek to Sandakphu,0.0,negative,0
216,Tanguar Haor a magical place worth revisiting,0.4,positive,1
217,"A heaven with lush green, rolling hills",-0.05,negative,0
218,A trip to Kohima and Khonoma,0.0,negative,0
219,A link to a bygone era,0.0,negative,0
220,Yunnan province of China,0.0,negative,0
221,Kyrgyzstan: A tale of an eagle and a bond,0.0,negative,0
222,Hill destroyers go unpunished,0.0,negative,0
223,Gill nets banned but abundant,0.6,positive,1
224,"In Cumilla, canals run black",-0.16666666666666666,negative,0
225,Eden Mohila College: 150 years of history and glory,0.0,negative,0
226,The forgotten people of Gaibandha shoals,0.0,negative,0
227,From Chatlapur Tea Garden to Gothenburg: A journalistic odyssey,0.0,negative,0
228,Bangabandhu Tunnel Dream becomes reality,0.0,negative,0
229,"‘It was technically complex, challenging’",0.1,negative,0
230,Exploring river heritage of Dhaka,0.0,negative,0
231,Revival of sculpture as an art form,0.0,negative,0
232,Exploring the street breakfast culture,0.0,negative,0
233,Dhaka's lost bridges,0.0,negative,0
234,Bangabazar: Rising from the ashes,0.0,negative,0
235,The Wonder of Saat Gombuj Masjid,0.0,negative,0
236,Neighbourhood Handymen the fixer you need,0.0,negative,0
237,A taste of Mohammadpur,0.0,negative,0
238,Beyond borders: Expatriates’ testimonies on Dhaka,0.0,negative,0
239,Tradition meets innovation in the spicy world of fuchka,0.0,negative,0
240,Sumon Bhai’s Dilbahar: The new special shorbot of Old Dhaka,0.19783549783549784,negative,0
241,Dhaka and its Mughal mosques,0.0,negative,0
242,Breaking stereotypes: A male nurse in the city,0.0,negative,0
243,Answer: So Motijheel In 5 minutes: Dhaka Metro Revoluctiones Commuting,0.0,negative,0
244,Katrina Wild’s exotic tea adventures,0.3,positive,1
245,A forgotten history: The Prince who dethroned Dhaka as a capital,0.0,negative,0
246,"Eco-chic experience at Ajo Idea Space, Gulshan",0.0,negative,0
247,Lighting up Dhaka: The first electric lights in our city!,0.3125,positive,1
248,"Six companies, three young individuals to be honoured",0.1,negative,0
249,COP28: Over 110 nations commit to triple renewable energy,0.0,negative,0
250,Human rights day: AL to hold rally Dec 10,0.0,negative,0
251,AL presidium member Maya's son dies,0.0,negative,0
252,"Marufa, Rabeya included in WIPL auction",0.0,negative,0
253,A look back at ‘Gohine Shobdo’,0.0,negative,0
254,Bonus for ‘big achievement’ awaits Shanto and Co,0.0,negative,0
255,Imran Khan's party elects new chairman ahead of Pakistan's election,0.13636363636363635,negative,0
256,27 AL MPs vying for polls as independent candidates,0.0,negative,0
257,Truck torched in Khagrachhari: Injured helper dies at burn institute after 6 days,0.0,negative,0
258,2 deputy commissioners among 3 transferred ahead of polls,0.0,negative,0
259,Chanchal Chowdhury starrer 'Padatik' headed to IFFK,0.0,negative,0
260,Séance In The 70's,0.0,negative,0
261,Oil prices fall more than 2% as investors skeptical of OPEC+ cuts,0.0,negative,0
262,Taijul overwhelmed with joy after NZ win,0.8,positive,1
263,"Chattogram-11: AL’s MA Latif's annual income dips, movable assets double",0.0,negative,0
264,Bangladesh Sustainability Excellence Awards today,0.0,negative,0
265,Sunil Grover to reunite with Kapil Sharma for Netflix comedy show,0.0,negative,0
266,Bayern Munich vs Union Berlin postponed due to snow,-0.125,negative,0
267,"12th national election: 2,713 aspirants to vie for 300 seats",0.0,negative,0
268,Pakistan ex-PM Imran Khan replaced as party head,0.0,negative,0
269,Tackling poll-related violence EC’s responsibility: Quader,0.0,negative,0
270,"2.60 lakh yaba pills, 1.05 kg crystal meth seized in Cox’s Bazar",0.0,negative,0
271,"121/B, East Basabo",0.0,negative,0
272,Many more Rohingyas might die if actions not taken: UNHCR,0.5,positive,1
273,Southee refuses to blame World Cup fatigue for Sylhet defeat,0.0,negative,0
274,"Earthquake triggers panic, no damage reported",0.0,negative,0
275,‘Job is only half-done’: Shanto not bothered by outside noise,0.0,negative,0
276,'Channel i Band Fest 2023' held on a smaller scale due to elections,-0.0625,negative,0
277,"Ranveer Singh calls ‘Don 3’ casting criticism ‘natural’, compares reaction to Craig’s Bond casting",0.1,negative,0
278,Gaza death toll rises to 240: health ministry,0.0,negative,0
279,‘Home Alone’ stars Macaulay and Catherine's tearful reunion,0.0,negative,0
280,At least 76 RMG workers injured in Cumilla,-0.3,negative,0
281,26th anniversary of CHT Peace Treaty today,0.0,negative,0
282,KIFF 2024 to celebrate cinema with lineup of 219 films from 39 countries,0.0,negative,0
283,Messi calls MLS ‘a minor league’,-0.05,negative,0
284,Dhaka-Tangail rail link fully restored after eight hours,0.0,negative,0
285,How to turn on earthquake alerts on your phone,0.0,negative,0
286,Arsenal plot long stay at summit,-0.05,negative,0
287,Taylor Swift to earn more than $100 million from Spotify alone this year,0.5,positive,1
288,The 96th Academy Awards live telecast to start an hour early,0.11818181818181818,negative,0
289,Pledges made so far at the COP28 climate talks,0.1,negative,0
290,139 Rohingya refugees land in Indonesia: officials,0.0,negative,0
291,An interview with Sakib Jamal: Forbes 30 under 30 2024,0.0,negative,0
292,Ranbir Kapoor’s ‘Animal’ leaked online,0.0,negative,0
293,Contenders to learn Euro 2024 fate tonight,0.0,negative,0
294,The Weeknd donates $2.5 million to Gaza,0.0,negative,0
295,Dhaka’s air 3rd most polluted in the world this morning,0.25,positive,1
296,"Magnitude 5.6 earthquake jolts Dhaka, other parts of Bangladesh",-0.125,negative,0
297,Bangladesh complete historic Test win over New Zealand,0.2590909090909091,positive,1
298,South Korea launches first spy satellite with SpaceX,0.25,positive,1
299,Renewed Gaza fighting stretches into second day,0.0,negative,0
300,Messi leaves door open to 2026 World Cup,0.0,negative,0
301,Teamwork outshines Tahura brace as Bangladesh sink Singapore,0.0,negative,0
302,Taijul has been ready to lead spin attack for a while,0.2,positive,1
303,Postecoglou bullish his plan will turn Tottenham into 'big club',0.0,negative,0
304,"Fortress Anfield a 'nightmare' for opponents, says Klopp",0.0,negative,0
305,PCB appoint Salman Butt as consultant to chief selector,0.0,negative,0
306,Washington welcomes Dhaka's zero-tolerance policy on terrorism,0.0,negative,0
307,Singing her way to national glory,0.0,negative,0
308,Anisuzzaman passes away,0.0,negative,0
309,Ctg-4 MP steps aside from election race,0.0,negative,0
310,Do not allow the soldiers to kill my doll! : SIX,0.0,negative,0
311,"They raise their fists. Inside, I fall asleep to the sound of rain",0.4,positive,1
312,‘Hell on Earth has returned to Gaza’,0.0,negative,0
313,Philippines builds monitoring station on island,0.0,negative,0
314,Women’s Participation in Renewable Energy Challenges and Opportunities,0.0,negative,0
315,Israeli army issues Gaza evacuation zone map,0.0,negative,0
316,Russia advancing on all fronts in Ukraine,0.0,negative,0
317,‘We take this very seriously’,-0.43333333333333335,negative,0
318,"US, partners target North Korea with sanctions",0.0,negative,0
319,Trump gag order reimposed,0.0,negative,0
320,7 killed in attack on Shia clerics,-0.2,negative,0
321,Dr Razia first Bangladeshi to receive The Hague Award,0.25,positive,1
322,"Dengue Outbreak: Nov saw 274 deaths, over 40,000 cases",0.0,negative,0
323,Full implementation remains elusive,0.35,positive,1
324,Legal tangles still unresolved,0.2,positive,1
325,244 aspirants for 20 Dhaka seats,0.0,negative,0
326,Patients bear the brunt of blockades,0.0,negative,0
327,School playground now a grazing field,0.0,negative,0
328,Patients suffer for damaged dialysis machines,0.0,negative,0
329,"Mother, child die as truck hits auto-rickshaw",0.0,negative,0
330,JP leader submits nomination from Trinamool BNP,0.0,negative,0
331,"Once a vibrant palace, now in ruins",0.008333333333333331,negative,0
332,No one can stop election train: Quader,0.0,negative,0
333,‘Country to see a staged election’,0.0,negative,0
334,‘AL will claim victory by staging drama’,0.0,negative,0
335,Courtesy meeting or forced detention?,-0.30000000000000004,negative,0
336,Seven still missing after US Osprey crash off Japan,-0.2,negative,0
337,Road crashes kill two in Gopalganj,0.0,negative,0
338,"Two men murdered in Joypurhat, Dinajpur",0.0,negative,0
339,Post-Coup Myanmar: Ethnic minority fighters clash with military on major trade route,-0.018750000000000003,negative,0
340,109 reported killed as Israeli strikes resume in Gaza,-0.2,negative,0
341,‘Calm yet fierce determination’,0.30000000000000004,positive,1
342,"UN chief, COP28 president clash over fossil fuels’ future",0.0,negative,0
343,Climate Change: Put victims in charge of fighting impact,0.0,negative,0
344,Excitement as train service from Cox’s Bazar starts,0.0,negative,0
345,Bangladeshi Journo’s Abduction: Malaysian cop among 4 charged,0.0,negative,0
346,Independents all-time high,0.16,negative,0
347,Tigers on the verge of huge win,0.6000000000000001,positive,1
348,AL’s Independent Candidates: Party to decide their fate on a case-by-case basis,0.0,negative,0
349,BNP averts split despite AL efforts,0.0,negative,0
350,"Transfer all UNOs, OCs in phases",0.0,negative,0
351,"UNGA president hopes polls can be certified free, fair",0.55,positive,1
352,Beyond the classroom: A deep dive into student leadership,0.0,negative,0
353,Scott Pilgrim Takes Off: The highly anticipated sequel that no one anticipated,0.16,negative,0
354,The alternatives to coaching in A levels,0.0,negative,0
355,The way to a productive gap year,0.0,negative,0
356,My Adventures with Superman: The Man of Steel with a slice-of-life flavour,0.0,negative,0
357,Five presentation tips for school students,0.0,negative,0
358,Fog beneath the winter skyline,0.0,negative,0
359,Propelling tomorrow’s innovators: Carnegie Mellon’s world-leading Robotics program comes to ISD,0.0,negative,0
360,Did You Know? - November,0.0,negative,0
361,Is being part of a school club worth it?,0.3,positive,1
362,How necessary is it to teach programming in schools?,0.0,negative,0
363,Why we should include philosophy in our curriculum,0.0,negative,0
364,What should modern schools look like?,0.2,positive,1
365,The trade-off between school and private,0.0,negative,0
366,Why school newspapers should be encouraged,0.0,negative,0
367,Animated horror movies to enjoy with your friends,0.4,positive,1
368,Terrifying yet comforting: What makes Spirited Away a must-watch?,-0.25,negative,0
369,Hosting Pokémon battles with your friends,0.0,negative,0
370,Is Your Lie In April as good as remembered?,0.7,positive,1
371,The Wind Rises: A heart-wrenching tale of love and war,0.5,positive,1
372,Japanese musicians to check out if you're into musical storytelling,0.0,negative,0
373,The SATs: Explained,0.0,negative,0
374,Climate Crisis: Explained,0.0,negative,0
375,What you need to know about inflation,0.0,negative,0
376,"Jalebi, Saree, Samosa: When did we become too good for Bangla?",0.7,positive,1
377,Menstruating for the first time,0.25,positive,1
378,What They Don’t Tell You About the Statement of Purpose,0.0,negative,0
379,What is this morbid curiosity?,0.0,negative,0
380,THE DAWN OF THE DESHI SIX,0.0,negative,0
381,The After-chapter,0.0,negative,0
382,My Home,0.0,negative,0
383,Fathers and Daughters and Unmailed Letters,0.0,negative,0
384,Parting,0.0,negative,0
385,Intrusive,0.0,negative,0
386,"If you don’t like reading, then comic books are for you",0.25,positive,1
387,Getting into the habit of reading,0.0,negative,0
388,Growing up surrounded by music,0.0,negative,0
389,How photographing my life on a daily basis helps me,0.0,negative,0
390,When you’re not good at your new hobby,-0.10681818181818181,negative,0
391,Why Writers Write,0.0,negative,0
392,Rekindling Old Hobbies,0.1,negative,0
393,Custom-made keycaps conjured up by young keyboard enthusiast,0.1,negative,0
394,Settling the debate,0.0,negative,0
395,Team Bangladesh secures 3 gold medals in IMDO 2023,0.0,negative,0
396,14-year-old makes Marvel props at home,0.0,negative,0
397,Bangladesh wins 1 silver and 3 bronze medals at European Girls' Mathematical Olympiad 2023,0.09999999999999999,negative,0
398,Bangladeshi school students bag first prize at NASA Space Settlement Contest 2023,0.25,positive,1
399,4 photographers win UNHCR Nansen Refugee Award,0.8,positive,1
400,"Weeklong art, photography exhibition kicks off in Dhaka",0.0,negative,0
401,Apes of the East,0.0,negative,0
402,Snapshots of history—Golam Mustafa meets Manzoor Alam Beg,0.0,negative,0
403,Panihar Public Library: A heritage in ruins,-0.075,negative,0
404,Experiencing architecture around us,0.0,negative,0
405,What students can expect from a major in Architecture,0.0625,negative,0
406,Van Gogh's self portrait found underneath one of his paintings Art,0.0,negative,0
407,Architect Rafiq Azam wins Robert Mathew Life Time Achievement Award,0.3,positive,1
408,15 years of iPhone: Evolution in photography,0.0,negative,0
409,In conversation with Historian Perween Hasan,0.0,negative,0
410,Durga Puja: 65ft Kumbhakarna with 501 idols in Khulna,0.0,negative,0
411,Jheel Kutum Café in Hatirjheel Reemines a Burnt Memory,0.0,negative,0
412,Sufi saint Khan Jahan Ali's work in Bengal,0.0,negative,0
413,Irish author Paul Lynch wins 2023 Booker Prize,0.15,negative,0
414,"Revisiting 'In the country of film, in the country of poetry'",0.0,negative,0
415,The progressive depiction of women in ‘Devdas’,0.0,negative,0
416,My scarlet incarnation,0.0,negative,0
417,Discovering enlightenment and creativity at Dhaka Flow Festival,0.0,negative,0
418,The Hermitage Residency: In Conversation with Arif Anwar and Julia Philips,0.0,negative,0
419,"Malaysian cop suspended over arbitrary detention, torture of Bangladeshi journo",-0.1,negative,0
420,"Survey on untimely return of 218 migrants: Deportation, not getting promised job key reasons",0.0,negative,0
421,Banks to appreciate taka against US dollar,0.0,negative,0
422,'Countries vocal on human rights often silent on migrant workers’ sufferings',0.0,negative,0
423,Market has unofficial inter-bank exchange rates now: PRI,0.0,negative,0
424,"Biman’s Dhaka, Chennai flight from Dec 16",0.0,negative,0
425,"Passenger ‘Dies Mid-Flight’: Biman does not land, carries on for 9 hours",0.0,negative,0
426,Jin Air keen to operate direct flights,0.1,negative,0
427,Oman suspends new visas for Bangladeshis,0.13636363636363635,negative,0
428,Rights worker writes to UN on Bangladeshi migrants’ dire situation in Malaysia,0.0,negative,0
429,Bangladesh to send more workers to Libya,0.5,positive,1
430,Forex reserves fall further to $20.89 billion,0.0,negative,0
431,Reunited after 35 years,0.0,negative,0
432,"Labour market expanding beyond Gulf, Southeast Asia",0.0,negative,0
433,Airbus for Biman: Plane maker keen on MoU this month,0.0,negative,0
434,4 Bangladeshis killed in Qatar fire,-0.2,negative,0
435,Oman suspends visa for Bangladeshis,0.0,negative,0
436,11.66 lakh women workers went abroad so far,0.1,negative,0
437,Repatriation of illegal immigrants: Govt to sign SOP with UK,-0.5,negative,0
438,Remittance hits four-month high,0.16,negative,0
439,Bangladeshi dies after falling into machine in Malaysian factory,0.0,negative,0
